id,fecha,descripcion
"13","2018-01-01","Año Nuevo"
"14","2018-03-29","Jueves Santo"
"15","2018-03-30","Viernes Santo"
"16","2018-05-01","Día del Trabajo"
"17","2018-06-29","San Pedro y San Pablo"
"18","2018-07-28","Día de la Independencia"
"20","2018-08-30","Santa Rosa de Lima"
"21","2018-10-08","Combate de Angamos"
"22","2018-11-01","Día de Todos los Santos"
"23","2018-12-08","Inmaculada Concepción"
"24","2018-12-25","Navidad"
"25","2018-04-01","DOMINGO"
"26","2018-07-01","DOMINGO"
"27","2018-06-10","DOMINGO"
"28","2018-02-11","DOMINGO"
"29","2018-03-11","DOMINGO"
"30","2018-11-11","DOMINGO"
"31","2018-08-12","DOMINGO"
"32","2018-05-13","DOMINGO"
"33","2018-01-14","DOMINGO"
"34","2018-10-14","DOMINGO"
"35","2018-04-15","DOMINGO"
"36","2018-07-15","DOMINGO"
"37","2018-12-16","DOMINGO"
"38","2018-09-16","DOMINGO"
"39","2018-06-17","DOMINGO"
"40","2018-02-18","DOMINGO"
"41","2018-03-18","DOMINGO"
"42","2018-11-18","DOMINGO"
"43","2018-08-19","DOMINGO"
"44","2018-12-02","DOMINGO"
"45","2018-09-02","DOMINGO"
"46","2018-05-20","DOMINGO"
"47","2018-01-21","DOMINGO"
"48","2018-10-21","DOMINGO"
"49","2018-04-22","DOMINGO"
"50","2018-07-22","DOMINGO"
"51","2018-12-23","DOMINGO"
"52","2018-09-23","DOMINGO"
"53","2018-06-24","DOMINGO"
"54","2018-02-25","DOMINGO"
"55","2018-03-25","DOMINGO"
"56","2018-11-25","DOMINGO"
"57","2018-08-26","DOMINGO"
"58","2018-05-27","DOMINGO"
"59","2018-01-28","DOMINGO"
"60","2018-10-28","DOMINGO"
"61","2018-04-29","DOMINGO"
"62","2018-07-29","DOMINGO"
"63","2018-06-03","DOMINGO"
"64","2018-12-30","DOMINGO"
"65","2018-09-30","DOMINGO"
"66","2018-02-04","DOMINGO"
"67","2018-03-04","DOMINGO"
"68","2018-11-04","DOMINGO"
"69","2018-08-05","DOMINGO"
"70","2018-05-06","DOMINGO"
"71","2018-10-07","DOMINGO"
"72","2018-04-08","DOMINGO"
"73","2018-07-08","DOMINGO"
"74","2018-12-09","DOMINGO"
"75","2018-09-09","DOMINGO"
"76","2019-01-01","Año Nuevo"
"77","2019-04-18","Jueves Santo"
"78","2019-04-19","Viernes Santo"
"79","2019-05-01","Dia del Trabajo"
"81","2019-06-29","San Pedro y San Pablo"
"82","2019-07-29","dia de la independencia"
"83","2019-08-30","Santa Rosa de Lima"
"84","2019-10-08","Combate de Angamos"
"85","2019-11-01","Dia de Todos los Santos"
"86","2019-12-25","Navidad"
"87","2019-01-06","DOMINGO"
"88","2019-01-13","DOMINGO"
"89","2019-01-20","DOMINGO"
"90","2019-01-27","DOMINGO"
"91","2019-02-03","DOMINGO"
"92","2019-02-10","DOMINGO"
"93","2019-02-17","DOMINGO"
"94","2019-02-24","DOMINGO"
"95","2019-03-03","DOMINGO"
"96","2019-03-10","DOMINGO"
"97","2019-03-17","DOMINGO"
"98","2019-03-24","DOMINGO"
"99","2019-03-31","DOMINGO"
"100","2019-04-07","DOMINGO"
"101","2019-04-14","DOMINGO"
"102","2019-04-21","DOMINGO"
"103","2019-04-28","DOMINGO"
"104","2019-05-05","DOMINGO"
"105","2019-05-12","DOMINGO"
"106","2019-05-19","DOMINGO"
"107","2019-05-26","DOMINGO"
"108","2019-06-02","DOMINGO"
"109","2019-06-09","DOMINGO"
"110","2019-06-16","DOMINGO"
"111","2019-06-23","DOMINGO"
"112","2019-06-30","DOMINGO"
"113","2019-07-07","DOMINGO"
"114","2019-07-14","DOMINGO"
"115","2019-07-21","DOMINGO"
"116","2019-07-28","dia de la independencia"
"117","2019-08-04","DOMINGO"
"118","2019-08-11","DOMINGO"
"119","2019-08-18","DOMINGO"
"120","2019-08-25","DOMINGO"
"121","2019-09-01","DOMINGO"
"122","2019-09-08","DOMINGO"
"123","2019-09-15","DOMINGO"
"124","2019-09-22","DOMINGO"
"125","2019-09-29","DOMINGO"
"126","2019-10-06","DOMINGO"
"127","2019-10-13","DOMINGO"
"128","2019-10-20","DOMINGO"
"129","2019-10-27","DOMINGO"
"130","2019-11-03","DOMINGO"
"131","2019-11-10","DOMINGO"
"132","2019-11-17","DOMINGO"
"133","2019-11-24","DOMINGO"
"134","2019-12-01","DOMINGO"
"135","2019-12-08","DOMINGO"
"136","2019-12-15","DOMINGO"
"137","2019-12-22","DOMINGO"
"138","2019-12-29","DOMINGO"
"186","2020-01-05","DOMINGO"
"187","2020-01-12","DOMINGO"
"188","2020-01-19","DOMINGO"
"189","2020-01-26","DOMINGO"
"190","2020-02-02","DOMINGO"
"191","2020-02-09","DOMINGO"
"192","2020-02-16","DOMINGO"
"193","2020-02-23","DOMINGO"
"194","2020-03-01","DOMINGO"
"195","2020-03-08","DOMINGO"
"196","2020-03-15","DOMINGO"
"197","2020-03-22","DOMINGO"
"198","2020-03-29","DOMINGO"
"199","2020-04-05","DOMINGO"
"200","2020-04-12","DOMINGO"
"201","2020-04-19","DOMINGO"
"202","2020-04-26","DOMINGO"
"203","2020-05-03","DOMINGO"
"204","2020-05-10","DOMINGO"
"205","2020-05-17","DOMINGO"
"206","2020-05-24","DOMINGO"
"207","2020-05-31","DOMINGO"
"208","2020-06-07","DOMINGO"
"209","2020-06-14","DOMINGO"
"210","2020-06-21","DOMINGO"
"211","2020-06-28","DOMINGO"
"212","2020-07-05","DOMINGO"
"213","2020-07-12","DOMINGO"
"214","2020-07-19","DOMINGO"
"215","2020-07-26","DOMINGO"
"216","2020-08-02","DOMINGO"
"217","2020-08-09","DOMINGO"
"218","2020-08-16","DOMINGO"
"219","2020-08-23","DOMINGO"
"221","2020-09-06","DOMINGO"
"222","2020-09-13","DOMINGO"
"223","2020-09-20","DOMINGO"
"224","2020-09-27","DOMINGO"
"225","2020-10-04","DOMINGO"
"226","2020-10-11","DOMINGO"
"227","2020-10-18","DOMINGO"
"228","2020-10-25","DOMINGO"
"230","2020-11-08","DOMINGO"
"231","2020-11-15","DOMINGO"
"232","2020-11-22","DOMINGO"
"233","2020-11-29","DOMINGO"
"234","2020-12-06","DOMINGO"
"235","2020-12-13","DOMINGO"
"236","2020-12-20","DOMINGO"
"237","2020-12-27","DOMINGO"
"286","2021-12-05","DOMINGO"
"315","2022-06-26","DOMINGO"
"316","2022-07-03","DOMINGO"
"317","2022-07-10","DOMINGO"
"318","2022-07-17","DOMINGO"
"319","2022-07-24","DOMINGO"
"320","2022-07-31","DOMINGO"
"321","2022-08-07","DOMINGO"
"322","2022-08-14","DOMINGO"
"323","2022-08-21","DOMINGO"
"324","2022-08-28","DOMINGO"
"325","2022-09-04","DOMINGO"
"326","2022-09-11","DOMINGO"
"327","2022-09-18","DOMINGO"
"328","2022-09-25","DOMINGO"
"329","2022-10-02","DOMINGO"
"330","2022-10-09","DOMINGO"
"331","2022-10-16","DOMINGO"
"332","2022-10-23","DOMINGO"
"333","2022-10-30","DOMINGO"
"334","2022-11-06","DOMINGO"
"335","2022-11-13","DOMINGO"
"336","2022-11-20","DOMINGO"
"337","2022-11-27","DOMINGO"
"338","2022-12-04","DOMINGO"
"339","2022-12-11","DOMINGO"
"340","2022-12-18","DOMINGO"
"342","2023-01-01","DOMINGO"
"343","2023-01-08","DOMINGO"
"344","2023-01-15","DOMINGO"
"345","2023-01-22","DOMINGO"
"358","2023-04-23","DOMINGO"
"359","2023-04-30","DOMINGO"
"396","2024-01-14","DOMINGO"
"397","2024-01-21","DOMINGO"
"398","2024-01-28","DOMINGO"
"399","2024-02-04","DOMINGO"
"400","2024-02-11","DOMINGO"
"401","2024-02-18","DOMINGO"
"402","2024-02-25","DOMINGO"
"403","2024-03-03","DOMINGO"
"404","2024-03-10","DOMINGO"
"405","2024-03-17","DOMINGO"
"406","2024-03-24","DOMINGO"
"407","2024-03-31","DOMINGO"
"408","2024-04-07","DOMINGO"
"409","2024-04-14","DOMINGO"
"410","2024-04-21","DOMINGO"
"411","2024-04-28","DOMINGO"
"412","2024-05-05","DOMINGO"
"413","2024-05-12","DOMINGO"
"414","2024-05-19","DOMINGO"
"415","2024-05-26","DOMINGO"
"416","2024-06-02","DOMINGO"
"417","2024-06-09","DOMINGO"
"418","2024-06-16","DOMINGO"
"419","2024-06-23","DOMINGO"
"420","2024-06-30","DOMINGO"
"421","2024-07-07","DOMINGO"
"422","2024-07-14","DOMINGO"
"423","2024-07-21","DOMINGO"
"424","2024-07-28","DOMINGO"
"425","2024-08-04","DOMINGO"
"426","2024-08-11","DOMINGO"
"427","2024-08-18","DOMINGO"
"428","2024-08-25","DOMINGO"
"429","2024-09-01","DOMINGO"
"430","2024-09-08","DOMINGO"
"431","2024-09-15","DOMINGO"
"432","2024-09-22","DOMINGO"
"433","2024-09-29","DOMINGO"
"434","2024-10-06","DOMINGO"
"435","2024-10-13","DOMINGO"
"436","2024-10-20","DOMINGO"
"437","2024-10-27","DOMINGO"
"438","2024-11-03","DOMINGO"
"439","2024-11-10","DOMINGO"
"440","2024-11-17","DOMINGO"
"441","2024-11-24","DOMINGO"
"442","2024-12-01","DOMINGO"
"443","2024-12-08","DOMINGO"
"444","2024-12-15","DOMINGO"
"445","2024-12-22","DOMINGO"
"446","2024-12-29","DOMINGO"
"447","2025-01-05","DOMINGO"
"448","2025-01-12","DOMINGO"
"449","2025-01-19","DOMINGO"
"450","2025-01-26","DOMINGO"
"451","2025-02-02","DOMINGO"
"452","2025-02-09","DOMINGO"
"453","2025-02-16","DOMINGO"
"454","2025-02-23","DOMINGO"
"455","2025-03-02","DOMINGO"
"456","2025-03-09","DOMINGO"
"457","2025-03-16","DOMINGO"
"458","2025-03-23","DOMINGO"
"459","2025-03-30","DOMINGO"
"460","2025-04-06","DOMINGO"
"461","2025-04-13","DOMINGO"
"462","2025-04-20","DOMINGO"
"463","2025-04-27","DOMINGO"
"464","2025-05-04","DOMINGO"
"465","2025-05-11","DOMINGO"
"466","2025-05-18","DOMINGO"
"467","2025-05-25","DOMINGO"
"468","2025-06-01","DOMINGO"
"469","2025-06-08","DOMINGO"
"470","2025-06-15","DOMINGO"
"471","2025-06-22","DOMINGO"
"472","2025-06-29","DOMINGO"
"473","2025-07-06","DOMINGO"
"474","2025-07-13","DOMINGO"
"475","2025-07-20","DOMINGO"
"476","2025-07-29","DOMINGO"
"477","2025-08-03","DOMINGO"
"478","2025-08-10","DOMINGO"
"479","2025-08-17","DOMINGO"
"480","2025-08-24","DOMINGO"
"481","2025-08-31","DOMINGO"
"482","2025-09-07","DOMINGO"
"483","2025-09-14","DOMINGO"
"484","2025-09-21","DOMINGO"
"485","2025-09-28","DOMINGO"
"486","2025-10-05","DOMINGO"
"487","2025-10-12","DOMINGO"
"488","2025-10-19","DOMINGO"
"489","2025-10-26","DOMINGO"
"490","2025-11-02","DOMINGO"
"491","2025-11-09","DOMINGO"
"492","2025-11-16","DOMINGO"
"493","2025-11-23","DOMINGO"
"494","2025-11-30","DOMINGO"
"495","2025-12-07","DOMINGO"
"496","2025-12-14","DOMINGO"
"497","2025-12-21","DOMINGO"
"498","2025-12-28","DOMINGO"
"499","2026-01-04","DOMINGO"
"500","2026-01-11","DOMINGO"
"501","2026-01-18","DOMINGO"
"502","2026-01-25","DOMINGO"
"503","2026-02-01","DOMINGO"
"504","2026-02-08","DOMINGO"
"505","2026-02-15","DOMINGO"
"506","2026-02-22","DOMINGO"
"507","2026-03-01","DOMINGO"
"508","2026-03-08","DOMINGO"
"509","2026-03-15","DOMINGO"
"510","2026-03-22","DOMINGO"
"511","2026-03-29","DOMINGO"
"512","2026-04-05","DOMINGO"
"513","2026-04-12","DOMINGO"
"514","2026-04-19","DOMINGO"
"515","2026-04-26","DOMINGO"
"516","2026-05-03","DOMINGO"
"517","2026-05-10","DOMINGO"
"518","2026-05-17","DOMINGO"
"519","2026-05-24","DOMINGO"
"520","2026-05-31","DOMINGO"
"521","2026-06-07","DOMINGO"
"522","2026-06-14","DOMINGO"
"523","2026-06-21","DOMINGO"
"524","2026-06-28","DOMINGO"
"525","2026-07-05","DOMINGO"
"526","2026-07-12","DOMINGO"
"527","2026-07-19","DOMINGO"
"528","2026-07-26","DOMINGO"
"529","2026-08-02","DOMINGO"
"530","2026-08-09","DOMINGO"
"531","2026-08-16","DOMINGO"
"532","2026-08-23","DOMINGO"
"533","2026-08-30","DOMINGO"
"534","2026-09-06","DOMINGO"
"535","2026-09-13","DOMINGO"
"536","2026-09-20","DOMINGO"
"537","2026-09-27","DOMINGO"
"538","2026-10-04","DOMINGO"
"539","2020-01-01","Año Nuevo"
"540","2020-04-09","Jueves Santo"
"541","2020-04-10","Viernes Santo"
"542","2020-05-01","Día del Trabajo"
"543","2020-06-29","San Pedro y San Pablo"
"544","2020-07-28","Día de la Independencia"
"547","2020-08-30","Santa Rosa de Lima"
"549","2020-11-01","Día de Todos los Santos"
"550","2020-12-08","Inmaculada Concepción"
"551","2020-12-25","Navidad"
"553","2021-01-03","DOMINGO"
"554","2021-01-10","DOMINGO"
"555","2021-01-17","DOMINGO"
"556","2021-01-24","DOMINGO"
"557","2021-01-31","DOMINGO"
"558","2021-02-07","DOMINGO"
"559","2021-02-14","DOMINGO"
"560","2021-02-21","DOMINGO"
"561","2021-02-28","DOMINGO"
"562","2021-03-07","DOMINGO"
"563","2021-03-14","DOMINGO"
"564","2021-03-21","DOMINGO"
"565","2021-03-28","DOMINGO"
"566","2021-04-04","DOMINGO"
"567","2021-04-11","DOMINGO"
"568","2021-04-18","DOMINGO"
"569","2021-04-25","DOMINGO"
"570","2021-05-02","DOMINGO"
"571","2021-05-09","DOMINGO"
"572","2021-05-16","DOMINGO"
"573","2021-05-23","DOMINGO"
"574","2021-05-30","DOMINGO"
"575","2021-06-06","DOMINGO"
"576","2021-06-13","DOMINGO"
"577","2021-06-20","DOMINGO"
"578","2021-06-27","DOMINGO"
"579","2021-07-04","DOMINGO"
"580","2021-07-11","DOMINGO"
"581","2021-07-18","DOMINGO"
"582","2021-07-25","DOMINGO"
"583","2021-08-01","DOMINGO"
"584","2021-08-08","DOMINGO"
"585","2021-08-15","DOMINGO"
"586","2021-08-22","DOMINGO"
"587","2021-08-29","DOMINGO"
"588","2021-09-05","DOMINGO"
"589","2021-09-12","DOMINGO"
"590","2021-09-19","DOMINGO"
"591","2021-09-26","DOMINGO"
"592","2021-10-03","DOMINGO"
"593","2021-10-10","DOMINGO"
"594","2021-10-17","DOMINGO"
"595","2021-10-24","DOMINGO"
"596","2021-10-31","DOMINGO"
"597","2021-11-07","DOMINGO"
"598","2021-11-14","DOMINGO"
"599","2021-11-21","DOMINGO"
"600","2021-11-28","DOMINGO"
"602","2021-12-12","DOMINGO"
"603","2021-12-19","DOMINGO"
"604","2021-12-26","DOMINGO"
"605","2022-01-02","DOMINGO"
"606","2022-01-09","DOMINGO"
"607","2022-01-16","DOMINGO"
"608","2022-01-23","DOMINGO"
"609","2022-01-30","DOMINGO"
"610","2022-02-06","DOMINGO"
"611","2022-02-13","DOMINGO"
"612","2022-02-20","DOMINGO"
"613","2022-02-27","DOMINGO"
"614","2022-03-06","DOMINGO"
"615","2022-03-13","DOMINGO"
"616","2022-03-20","DOMINGO"
"617","2022-03-27","DOMINGO"
"618","2022-04-03","DOMINGO"
"619","2022-04-10","DOMINGO"
"620","2022-04-17","DOMINGO"
"621","2022-04-24","DOMINGO"
"622","2022-05-01","DOMINGO"
"623","2022-05-08","DOMINGO"
"624","2022-05-15","DOMINGO"
"625","2022-05-22","DOMINGO"
"626","2022-05-29","DOMINGO"
"627","2022-06-05","DOMINGO"
"628","2022-06-12","DOMINGO"
"629","2022-06-19","DOMINGO"
"630","2021-01-01","año nuevo"
"631","2021-04-01","inmovilizacion"
"632","2021-04-02","inmovilizacion semana santa"
"633","2021-04-03","inmovilizacion semana santa"
"634","2021-05-01","dia del trabajador"
"635","2021-06-29","DIA DE SAN PEDRO"
"637","2021-07-28","FIESTAS PATRIAS"
"638","2021-07-29","fiestas patrias"
"640","2021-10-08","combate de angamos"
"641","2021-11-01","todos los santos"
"644","2022-01-01","año nuevo"
"645","2022-04-15","semana santa"
"646","2022-04-16","semana santa"
"647","2022-06-29","san juan"
"648","2021-12-25","NAVIDAD"
"649","2022-07-28","FIESTAS PATRIAS"
"651","2022-11-01","TODOS LOS SANTOS"
"652","2022-12-08","INMACULADO"
"654","2022-12-25","NAVUDAD"
"655","2022-12-25","NAVUDAD"
"656","2022-12-25","NAVUDAD"
"657","2022-12-25","NAVUDAD"
"658","2022-10-08","Feriado"
"659","2022-12-09","batalla de Ayacucho"
"660","2023-01-29","DOMINGO"
"661","2023-02-05","DOMINGO"
"662","2023-02-12","DOMINGO"
"663","2023-02-19","DOMINGO"
"664","2023-02-26","DOMINGO"
"665","2023-03-05","DOMINGO"
"666","2023-03-12","DOMINGO"
"667","2023-03-19","DOMINGO"
"668","2023-03-26","DOMINGO"
"669","2023-04-02","DOMINGO"
"670","2023-04-09","DOMINGO"
"671","2023-04-16","DOMINGO"
"674","2023-05-07","DOMINGO"
"675","2023-05-14","DOMINGO"
"676","2023-05-21","DOMINGO"
"677","2023-05-28","DOMINGO"
"678","2023-06-04","DOMINGO"
"679","2023-06-11","DOMINGO"
"680","2023-06-18","DOMINGO"
"681","2023-06-25","DOMINGO"
"682","2023-07-02","DOMINGO"
"683","2023-07-09","DOMINGO"
"684","2023-07-16","DOMINGO"
"685","2023-07-23","DOMINGO"
"686","2023-07-30","DOMINGO"
"687","2023-08-06","DOMINGO"
"688","2023-08-13","DOMINGO"
"689","2023-08-20","DOMINGO"
"690","2023-08-27","DOMINGO"
"691","2023-09-03","DOMINGO"
"692","2023-09-10","DOMINGO"
"693","2023-09-17","DOMINGO"
"694","2023-09-24","DOMINGO"
"695","2023-10-01","DOMINGO"
"696","2023-10-08","DOMINGO"
"697","2023-10-15","DOMINGO"
"698","2023-10-22","DOMINGO"
"699","2023-10-29","DOMINGO"
"700","2023-11-05","DOMINGO"
"701","2023-11-12","DOMINGO"
"702","2023-11-19","DOMINGO"
"703","2023-11-26","DOMINGO"
"704","2023-12-03","DOMINGO"
"705","2023-12-10","DOMINGO"
"706","2023-12-17","DOMINGO"
"707","2023-12-24","DOMINGO"
"708","2023-12-31","DOMINGO"
"709","2024-01-07","DOMINGO"
"710","2023-04-06","Semana santa"
"711","2023-04-07","Se"
"712","2023-05-01","dia del trabajo"
"713","2023-06-29","feriado todos los santos"
"714","2023-07-28","fiesta patrias"
"716","2023-08-30","santa rosa de lima"
"717","2023-11-01","dia de los nuertos"
"718","2023-07-29","Fiestas patrias"
"719","2024-01-01","AÑO NUEVO"
"720","2024-03-28","semana santa"
"721","2024-03-29","semana santa"
"722","2024-05-01","dia del trabajo"
"723","2024-06-29","san  pedro"
"724","2024-07-29","fiestas patrias"
"725","2024-08-30","santa rosa de lima"
"726","2024-10-08","combate de angamos"
"727","2024-11-01","dia de los vivos"
"728","2024-12-25","feriado"
"729","2025-12-01",""
"730","2025-01-01","año nuevo"
